40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
40,4,0,50,0,50,0,4,0,50,0,50,0,4,40
40,0,40,50,0,50,40,0,40,50,0,50,40,0,40
40,50,50,50,0,50,50,50,50,50,0,50,50,50,40
40,0,0,0,50,0,0,50,0,0,50,0,0,0,40
40,50,50,50,0,50,0,50,0,50,0,50,50,50,40
40,0,40,50,0,0,50,50,50,0,0,50,40,0,40
40,4,0,50,50,50,50,40,50,50,50,50,0,4,40
40,0,40,50,0,0,50,50,50,0,0,50,40,0,40
40,50,50,50,0,50,0,50,0,50,0,50,50,50,40
40,0,0,0,50,0,0,50,0,0,50,0,0,0,40
40,50,50,50,0,50,50,50,50,50,0,50,50,50,40
40,0,40,50,0,50,40,0,40,50,0,50,40,0,40
40,4,0,50,0,50,0,4,0,50,0,50,0,4,40
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
